Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-31,121.54305096464991,121.92461511510743,120.65272963732939,121.00494384765625,26646800,0.0,0
2019-06-03,121.17126381843576,121.68002098970244,116.43595109849775,117.24799346923828,37983600,0.0,0
2019-06-04,118.65684290265686,120.61358505465155,118.04047181195496,120.49618530273438,29382600,0.0,0
2019-06-05,122.24746524430526,123.14757232396927,121.52347272456556,123.10843658447266,24926100,0.0,0
2019-06-06,123.7052400198885,125.2021465571275,122.88340444266424,125.05538940429688,21459000,0.0,0
2019-06-07,126.39576117198565,129.3895742635079,125.48586831213132,128.55795288085938,33885600,0.0,0
2019-06-10,129.53633896641043,131.1800103207226,129.14499646378155,129.73202514648438,26477100,0.0,0
2019-06-11,130.98431226962524,131.33652642143093,128.44054173672214,129.24281311035156,23913700,0.0,0
2019-06-12,128.55796186284513,129.11564057861574,127.88289831620119,128.64602661132812,17092500,0.0,0
2019-06-13,129.1254113336334,130.123354018186,128.71449727029008,129.45806884765625,17200800,0.0,0
2019-06-14,129.39935795453073,130.89626456223513,128.79277264203202,129.5852508544922,17821700,0.0,0
2019-06-17,129.7613654373012,130.83756470387266,129.66352235454087,129.9766082763672,14517800,0.0,0
2019-06-18,131.28761219802888,132.3149047754034,130.6810269306538,132.23663330078125,25934500,0.0,0
2019-06-19,132.08010948453656,132.98998751740325,130.9158453901084,132.75518798828125,23744400,0.0,0
2019-06-20,134.47706994502303,134.68253439156118,132.78449255963054,133.98788452148438,33042600,0.0,0
2019-06-21,133.62591271452453,134.75103339085854,133.5085129719524,134.00747680664062,36727900,0.0,0
2019-06-24,134.03682907786103,135.40654252759185,134.03682907786103,134.79995727539062,20628800,0.0,0
2019-06-25,134.28142129401127,134.61406385493447,129.85918014311102,130.54403686523438,33327400,0.0,0
2019-06-26,131.44417794659955,132.8041133304345,130.71039953959306,131.0332489013672,23657700,0.0,0
2019-06-27,131.23868052701593,131.796359142355,130.62230204243193,131.2484588623047,16557500,0.0,0
2019-06-28,131.6593984864052,131.6887484234089,130.2798917322019,131.06259155273438,30043000,0.0,0
2019-07-01,133.67485639086942,133.74333460912638,132.0507566820894,132.74539184570312,22613500,0.0,0
2019-07-02,133.1758430826856,133.6356786032727,132.41271496953146,133.6259002685547,15237800,0.0,0
2019-07-03,133.84116421661824,134.76083540315085,133.34218542078247,134.4868927001953,13629300,0.0,0
2019-07-05,132.99976446682473,134.35969964493358,132.78452163902986,134.0955352783203,18141100,0.0,0
2019-07-08,133.44981083056624,134.1346825372197,132.4420898012149,133.99771118164062,16779700,0.0,0
